,Numéro de dossier,Année budgétaire,Collectivité,Nom Bénéficiaire,Numéro Siret,Objet du dossier,Montant voté,Direction,Nature de la subvention,Secteurs d'activités définies par l'association
0,2019_02520,2020,Ville de Paris,ASSOCIATION DROITS ET HABITATS - ADH,48361649600012,Accompagner les ménages fragiles et mal logés des quartiers prioritaires de la ville du 18ème dans l,0,DDCT,Projet,Défense des droits et des intérêts;Précarité & Exclusion;Social
1,2018_04293,2018,Ville de Paris,AGENCE PARISIENNE DU CLIMAT,52800732100011,Subvention DEVE-DLH-DU 2018,0,DU,Non précisée,Architecture & urbanisme;Déplacements et transports;Environnement & écologie
2,2018_00414,2018,Ville de Paris,MELTIN'CLUB PARIS,79109293500018,Fonctionnement 2017/2018,0,DJS,Fonctionnement,Humanitaire;Sport;Vie et animation locale
3,2019_01028,2019,Ville de Paris,ATOUTPRISES,44806320600024,Renouvellement de voies des murs d'escalade du 15e Croix Nivert et La plaine,0,DJS,Non précisée,Sport;Vie et animation locale
4,2019_07725,2019,Ville de Paris,FOODLAB,81850945700011,Un Foodlab rue de Mouzaia : Maison de l'alimentation durable et solidaire de proximité,0,DASES,Non précisée,Education & formation;Précarité & Exclusion;Vie et animation locale
5,2019_05270,2019,Ville de Paris,COMITE DEPARTEMENTAL DE CYCLOTOURISME DE PARIS CODEP 75,44768027300029,Projet de création d'un espace Vélo & Mobilité,0,DJS,Non précisée,Loisirs;Sport;Tourisme
6,2019_09840,2019,Ville de Paris,FONDS POUR LES FEMMES EN MEDITERRANEE,50525407800049,Rencontre de réflexion stratégique du mouvement féministe français : quelle place pour les luttes an,0,DDCT,Non précisée,Aides aux associations;Défense des droits et des intérêts;Education & formation
7,2017_04250,2017,Ville de Paris,RED'S TEAM,50752562400015,Convention d'Objectifs,0,DJS,Non précisée,Education & formation;Social;Sport
8,2019_05351,2019,Ville de Paris,LA PETANQUE BATIGNOLLAISE,51516585000014,continuité association,0,DJS,Fonctionnement,Loisirs;Sport;Vie et animation locale
9,2020_00339,2020,Ville de Paris,ACADEMIE FOOTBALL PARIS 18 (AFP18),81111744900025,SUBVENTION EQUIPEMENT AFP18,0,DJS,Non précisée,Culture & Arts;Education & formation;Sport
10,2020_10345,2020,Ville de Paris,13ONZE15 : FRATERNITE ET VERITE (ASSOCIATION DES VICTIMES DES ATTENTATS DU 13 NOVEMBRE 2015),81979246600024,Demande exceptionnelle  dans le cadre des 5 ans des commémorations des attentats du 13/11/2015,0,DPSP,Non précisée,Social
11,2020_00789,2020,Ville de Paris,JEUNESSE ATHLETIQUE DE MONTROUGE,34488029900039,CREATION SECTION HANDICAP,0,DJS,Non précisée,Sport
12,2019_10179,2019,Ville de Paris,12 BARS EN SCENE,84990772000015,"Demande de subvention pour le festival d'Art en Bars ""Tournée Générale""",0,DAC,Non précisée,Culture & Arts;Vie et animation locale
13,2018_06960,2019,Ville de Paris,CERCLE DE TAEKWONDO DES ARCHERS,79805014200024,"Projets locaux de réussite éducative, appel à projet concernant l¿année scolaire 2018-2019",0,DJS,Non précisée,Loisirs
14,2019_10171,2019,Ville de Paris,MEMORIAL DE LA SHOAH,78424378400013,Travaux de déplombage - hôtel de Chalons-Luxembourg,0,DAC,Investissement,Mémoire
15,2019_04634,2020,Ville de Paris,PLUS LOIN,39344280100048,subvention covid-19,41300,DJS,Projet,Loisirs;Social;Vie et animation locale
16,2019_09377,2019,Ville de Paris,EMMAUS SOLIDARITE,31723624800017,Espace Femmes - ESI Agora,0,DASES,Non précisée,Humanitaire;Précarité & Exclusion;Social
17,2020_00258,2019,Ville de Paris,EIFFEL BASKET CLUB,44808025900014,Fonctionnement de l'association pour la saison 2019-2020,2000,DJS,Fonctionnement,Sport
18,2020_08294,2021,Ville de Paris,MANIFEST CREATION  (MC),88148534600020,Création pièce de théâtre,0,DAC,Non précisée,Culture & Arts
19,2021_00774,2020,Ville de Paris,ASSOCIATION DE PREVENTION DU SITE DE LA VILLETTE APSV,34063517600019,Education à l'image à la Villette. Stage en milieu ouvert pour des personnes sous main de justice.,28591,DPSP,Projet,Education & formation;Emploi;Précarité & Exclusion
